subset,model,seed,window_size,max_rul,trigger_column,lead_time,maintenance_rate,early_maintenance_rate,late_maintenance_rate,missed_critical_rate,expected_cost,oracle_expected_cost,decision_regret,policy
FD001,ridge,44,30,130,y_pred,30.0,0.14,0.0,0.11,0.11,3.44,0.25,3.19,mean
FD001,ridge,44,30,130,y_pred,50.0,0.26,0.0,0.07,0.0,0.96,0.33,0.63,mean
FD001,tcn,42,30,130,y_pred,10.0,0.03,0.0,0.04,0.22,4.83,0.07,4.76,mean
FD001,tcn,42,30,130,y_pred,20.0,0.15,0.01,0.02,0.1,2.3501999999999996,0.16,2.1902,mean
FD001,tcn,42,30,130,y_pred,30.0,0.19,0.01,0.07,0.07,2.2916,0.25,2.0416,mean
FD001,tcn,42,30,130,y_pred,50.0,0.31,0.02,0.04,0.01,0.9178000000000001,0.33,0.5878,mean
FD001,tcn,43,30,130,y_pred,10.0,0.06,0.01,0.02,0.19,4.0602,0.07,3.9901999999999997,mean
FD001,tcn,43,30,130,y_pred,20.0,0.16,0.02,0.02,0.1,2.3638,0.16,2.2037999999999998,mean
FD001,tcn,43,30,130,y_pred,30.0,0.2,0.01,0.06,0.06,2.0016,0.25,1.7516,mean
FD001,tcn,43,30,130,y_pred,50.0,0.29,0.02,0.06,0.01,1.0978,0.33,0.7678,mean
FD001,tcn,44,30,130,y_pred,10.0,0.07,0.01,0.01,0.18,3.7702,0.07,3.7001999999999997,mean
FD001,tcn,44,30,130,y_pred,20.0,0.15,0.01,0.02,0.11,2.5536000000000003,0.16,2.3936,mean
FD001,tcn,44,30,130,y_pred,30.0,0.2,0.01,0.06,0.06,2.0016,0.25,1.7516,mean
FD001,tcn,44,30,130,y_pred,50.0,0.32,0.02,0.03,0.0,0.6278,0.33,0.2978,mean
FD002,gradient_boosting,42,30,130,y_pred,10.0,0.05405405405405406,0.02702702702702703,0.05791505791505792,0.18146718146718147,4.264942084942085,0.08494208494208494,4.18,mean
FD002,gradient_boosting,42,30,130,y_pred,20.0,0.138996138996139,0.003861003861003861,0.0694980694980695,0.10038610038610038,2.8425482625482625,0.20463320463320464,2.637915057915058,mean
FD002,gradient_boosting,42,30,130,y_pred,30.0,0.1969111969111969,0.015444015444015444,0.05405405405405406,0.05405405405405406,1.8202316602316602,0.23552123552123552,1.5847104247104247,mean
FD002,gradient_boosting,42,30,130,y_pred,50.0,0.2972972972972973,0.02702702702702703,0.0694980694980695,0.011583011583011582,1.227722007722008,0.33976833976833976,0.887953667953668,mean
FD002,gradient_boosting,43,30,130,y_pred,10.0,0.06177606177606178,0.02702702702702703,0.05019305019305019,0.17374517374517376,4.041544401544402,0.08494208494208494,3.9566023166023174,mean
FD002,gradient_boosting,43,30,130,y_pred,20.0,0.13513513513513514,0.003861003861003861,0.07335907335907337,0.10424710424710425,2.9545173745173745,0.20463320463320464,2.74988416988417,mean
FD002,gradient_boosting,43,30,130,y_pred,30.0,0.20463320463320464,0.015444015444015444,0.04633204633204633,0.04633204633204633,1.5987644787644788,0.23552123552123552,1.363243243243243,mean
FD002,gradient_boosting,43,30,130,y_pred,50.0,0.2972972972972973,0.02702702702702703,0.0694980694980695,0.011583011583011582,1.227722007722008,0.33976833976833976,0.887953667953668,mean
FD002,gradient_boosting,44,30,130,y_pred,10.0,0.06177606177606178,0.03861003861003861,0.06177606177606178,0.17374517374517376,4.157837837837838,0.08494208494208494,4.072895752895754,mean
FD002,gradient_boosting,44,30,130,y_pred,20.0,0.14285714285714285,0.003861003861003861,0.06563706563706563,0.09652509652509653,2.7305791505791506,0.20463320463320464,2.525945945945946,mean
FD002,gradient_boosting,44,30,130,y_pred,30.0,0.20077220077220076,0.019305019305019305,0.05405405405405406,0.05405405405405406,1.827027027027027,0.23552123552123552,1.5915057915057915,mean
FD002,gradient_boosting,44,30,130,y_pred,50.0,0.3088803088803089,0.02702702702702703,0.05791505791505792,0.007722007722007722,1.0462548262548264,0.33976833976833976,0.7064864864864865,mean
FD002,gru,42,30,130,y_pred,10.0,0.05019305019305019,0.003861003861003861,0.03861003861003861,0.18532818532818532,4.142934362934363,0.08494208494208494,4.057992277992278,mean
FD002,gru,42,30,130,y_pred,20.0,0.17374517374517376,0.003861003861003861,0.03474903474903475,0.06177606177606178,1.756988416988417,0.20463320463320464,1.5523552123552125,mean
FD002,gru,42,30,130,y_pred,30.0,0.22393822393822393,0.007722007722007722,0.019305019305019305,0.019305019305019305,0.8034749034749034,0.23552123552123552,0.567953667953668,mean
