subset,feature,importance_mean,importance_std
FD003,sensor_2_std,0.0018924232653164466,6.827637115003708e-05
FD003,setting_2_mean,0.0017636141500993491,0.00030839496948551696
FD003,setting_2_std,0.0016828910579300136,0.00016191367741809646
FD003,setting_1_mean,0.0016802560104858966,0.00012365593610740857
FD003,sensor_17_slope,0.0016074809079217286,0.0002877971077688021
FD003,sensor_15_std,0.0015932470368405203,0.00016534539869674723
FD003,setting_1_std,0.0015580556538929728,0.00039822497457351117
FD003,sensor_12_mean,0.001500878134593292,0.0002445541609401808
FD003,sensor_20_slope,0.00146677372229066,6.245655413651863e-05
FD003,sensor_3_std,0.001346384327373935,5.339456533247486e-05
FD003,sensor_21_mean,0.0013430712490613797,0.0003018718707748011
FD003,sensor_4_std,0.0013254459788184167,1.9750972569708998e-05
FD003,sensor_20_std,0.0012263528473627145,5.6395706251846296e-05
FD003,sensor_6_std,0.0012228956197854648,0.00041873904911684064
FD003,sensor_3_slope,0.0011537243521753608,3.169458000940419e-05
FD003,setting_1_slope,0.0007089804923921631,5.7798426161977585e-05
FD003,sensor_9_last,0.000681656455535264,0.00026648936664379233
FD003,setting_2_slope,0.0006256052518162032,4.5325106886433126e-05
FD003,sensor_6_slope,0.0005393328077368839,6.604115740203935e-05
FD003,sensor_14_last,0.0005240947744640821,0.00023963444400030843
FD003,sensor_12_last,0.0002511142187935737,2.8520942321719124e-05
FD003,sensor_7_last,0.00023634616392684296,1.288619437926306e-05
FD003,sensor_4_last,0.00017839984749281704,2.0563260552773668e-05
FD003,sensor_21_last,0.00017730983537300128,2.8391246248453767e-05
FD003,sensor_15_last,0.0001734351863754122,3.365980943629041e-05
FD003,sensor_9_delta,0.00016170535600424724,1.2952154870770304e-05
FD003,sensor_14_delta,0.00015646919267696898,2.7992291644875373e-05
FD003,sensor_3_last,0.0001424056698732015,1.650049480999609e-05
FD003,sensor_2_last,0.0001406979522746214,2.116449938158696e-05
FD003,sensor_7_delta,0.00013674058166637123,7.267036828248056e-06
FD003,sensor_4_delta,0.00013514845834253393,9.448447969145365e-06
FD003,sensor_12_delta,0.0001337908954512473,2.0525104979117177e-05
FD003,sensor_20_last,0.00012746974781997647,1.2332041951798604e-05
FD003,sensor_21_delta,0.0001272681990517536,1.2554676467933106e-05
FD003,sensor_15_delta,0.00012509143159923926,1.3185083202918278e-05
FD003,sensor_13_last,0.00012451945223921314,2.440207042521136e-05
FD003,sensor_2_delta,0.0001229646581970779,1.3981217309702602e-05
FD003,sensor_3_delta,0.0001194338107513318,1.0201297556606573e-05
FD003,sensor_8_last,0.0001163919269263261,2.7192816369920835e-05
FD003,setting_1_delta,0.00011268785981154751,5.485328638793282e-06
FD003,sensor_11_delta,0.0001120612343663682,1.1620938470464674e-05
FD003,setting_1_last,0.0001109249872940918,8.342403966769912e-06
FD003,sensor_20_delta,0.00010738746435351197,1.140465375049393e-05
FD003,sensor_13_delta,8.981462677374665e-05,1.0817473432123833e-05
FD003,sensor_10_slope,8.73214246744277e-05,4.568593327335345e-05
FD003,sensor_8_delta,8.623619377457797e-05,5.426517874991676e-06
FD003,setting_2_delta,8.504610723997208e-05,9.154245817591594e-06
FD003,sensor_6_last,6.858150476033685e-05,7.557163961355084e-06
FD003,setting_2_last,6.409265699737357e-05,6.604639283623902e-06
FD003,sensor_10_std,6.302536563287624e-05,4.078332085862781e-05
FD003,sensor_17_delta,4.7120623898581076e-05,3.1929772123545465e-06
FD003,sensor_17_last,3.7214266837120386e-05,5.50173757162012e-06
FD003,sensor_10_mean,3.39965064207068e-05,1.0432044813092469e-05
FD003,sensor_6_delta,9.069749179609126e-06,8.017097074992909e-07
FD003,sensor_10_last,1.5219783607405995e-06,4.5441070445556133e-07
FD003,sensor_10_delta,1.36150539731088e-06,4.332196242614097e-07
