subset,job_name,rmse_mean,rmse_std,mae_mean,mae_std,nasa_per_engine_mean,nasa_per_engine_std,critical_rmse_30_mean,critical_rmse_30_std,critical_rmse_50_mean,critical_rmse_50_std,overestimation_ratio_mean,overestimation_ratio_std,overestimation_magnitude_mean,overestimation_magnitude_std,sarbi_mean,sarbi_std,label
FD002,safety_w3_h64_l1_w30,22.121352978070536,1.1095560189250822,16.46776728633134,1.0754302172590229,8.675158883356927,0.8042465518407448,5.273831115152763,1.1409193076463868,7.7086040431119285,1.448795207617484,0.28571428571428564,0.04452726870529268,2.4639972830371044,0.5985046570223396,0.9116649001476268,0.060164232452914294,Safety w3
FD003,asymmetric_w2_h64_l1_w30,13.1230690870127,0.4590415798964792,9.791367853482564,0.30337977425771867,2.6869308213975587,0.4252868050300352,3.746784771735568,0.22925784228636972,5.111770909038386,0.5803468718190332,0.4466666666666666,0.08386497083606084,4.48698171933492,1.0224992801242208,0.8895426870349104,0.042620431979444665,Asymmetric w2
FD003,asymmetric_w3_h64_l1_w30,15.216084387367147,1.9639468333955903,11.17020722548167,1.2021389522749182,4.088025478510844,1.9562156171103797,4.928349297268799,0.6580182946920476,6.0052180374103585,1.4566164954386622,0.3733333333333333,0.040414518843273815,3.413055866559347,0.6729090867345965,1.028458898558818,0.17922984008275522,Asymmetric w3
FD003,baseline_lr1e-3_h64_l1_w30,14.591868740490264,2.3822215541438725,10.599575035572052,1.7627873006836765,5.8013281706778175,4.759425689126508,5.761744149840112,2.593759615447459,6.810295733949794,3.4729771448246587,0.5433333333333333,0.051316014394468805,6.3762186113993335,1.8476725832551437,1.2126400489545885,0.46461174269856437,Baseline GRU
FD003,critical_w2_h64_l1_w30,13.072370904291626,0.8679855600417238,9.57770528793335,0.5122855409190845,3.1176933010672827,0.8938651725898853,4.187759907703963,0.34076166802749475,4.5182651820920015,0.4016325561725678,0.4833333333333334,0.1069267662156363,5.6516905053456625,1.2586351241246727,0.9305709978799582,0.11667104303842314,Critical w2
FD003,critical_w3_h64_l1_w30,12.83238923621959,0.5686718026617651,9.505513846079507,0.4469979164995697,2.6128426401974774,0.26320606139886216,4.086377759872813,0.5547456213822625,4.996799100921507,0.4033773196434673,0.42,0.026457513110645904,4.581974337895711,0.6572553888310285,0.8858182044511599,0.030662306426577676,Critical w3
FD003,safety_w1p5_h64_l1_w30,15.14242950187129,1.7717145060084687,10.80372462908427,1.4656624306897277,6.615485787601668,2.806433920628331,4.050174524919005,1.2705051992888488,5.880398402682503,1.9466273240387415,0.49333333333333335,0.07371114795831998,5.630494887034099,1.7525841497038506,1.143162600738329,0.2881669240048872,Safety w1.5
FD003,safety_w2_h64_l1_w30,15.16996525397136,1.5311289709124878,11.049460967381796,0.9411293462349286,5.674267882062879,3.478135787417029,4.6532022387263225,1.7314911602512664,6.284366064661675,1.2504389451155662,0.4766666666666666,0.02081665999466133,5.018954693476359,0.6126890638406726,1.1361453120273157,0.2666806423608743,Safety w2
FD003,safety_w3_h64_l1_w30,14.363105578294793,0.8216640555579562,10.576268240610757,0.5475043549461395,3.019706040577138,0.8623900455509194,4.223134193560394,0.7292785748711742,4.760470074822636,0.6569399077487152,0.37333333333333335,0.047258156262526094,3.241063083012899,0.6406522050238025,0.9022159495236414,0.11407273848112727,Safety w3
FD004,asymmetric_w2_h64_l1_w30,21.79547629452524,1.116182589334757,16.18165155059548,0.9077942687897039,13.169593582305131,1.1040196666636384,12.624030548119544,0.7622800274855119,14.89496880072712,1.4022054449069052,0.42069892473118276,0.027447013248201788,5.497093595484252,0.15628307059411906,0.8907850074145315,0.0415641442191342,Asymmetric w2
