subset,model,critical_threshold_checked,critical_count_mean,critical_count_std,critical_rmse_mean,critical_rmse_std,critical_mae_mean,critical_mae_std,critical_overestimation_ratio_mean,critical_overestimation_ratio_std,critical_overestimation_magnitude_mean,critical_overestimation_magnitude_std
FD004,gru_safety_mse,50.0,80.0,0.0,14.619931079659835,3.5507564472295408,9.670655301666667,1.9774480314304201,0.6124999999999999,0.11924240017711818,7.055600768750001,2.628807588170184
FD004,gru_safety_mse,70.0,97.0,0.0,15.966572116946951,3.3487351007735207,11.062908152577322,2.133058439148107,0.5910652920962199,0.12385444186213128,7.654721231958763,2.8241960532463923
FD004,random_forest,20.0,40.0,0.0,10.957515933633843,0.7267130709804214,7.972652783790285,0.6435786964899783,0.7999999999999999,0.04330127018922192,7.486919473504892,0.6767102264802783
FD004,random_forest,30.0,53.0,0.0,15.006197697546503,1.2579411273088628,10.238847150752811,0.8172605977282141,0.8238993710691824,0.04357360522185854,9.796024832784266,0.8670377598033036
FD004,random_forest,50.0,80.0,0.0,16.994954420226577,1.1691488541109145,11.672094967917886,0.8485625249687546,0.7916666666666666,0.0260208249933267,10.86803091457154,0.9410248692590032
FD004,random_forest,70.0,97.0,0.0,19.43035486733804,0.8348350978597163,13.37406692384871,0.8092077360601231,0.7560137457044673,0.031495365601071065,11.96350086180842,0.908664442287294
FD004,ridge,20.0,40.0,0.0,22.371073641711096,0.830487395861909,16.415380382537844,0.7236561642649525,0.7333333333333334,0.014433756729740706,14.581418704986573,0.5497992166026708
FD004,ridge,30.0,53.0,0.0,24.113316512678335,0.8454979823652841,18.74186457028179,0.8569122784358767,0.7798742138364781,0.010893401305464635,17.1042362429061,0.7036158662758033
FD004,ridge,50.0,80.0,0.0,26.455197268091723,0.6591332294119883,21.80697429974874,0.701082081773183,0.8291666666666666,0.0072168783648704085,20.401501258214314,0.5944119624353691
FD004,ridge,70.0,97.0,0.0,26.706018108206194,0.604942374009638,22.074449650610436,0.6227006217839033,0.8075601374570448,0.0059520646308208625,20.43884171161455,0.5678945430148801
FD004,tcn,20.0,40.0,0.0,9.99562776955174,2.2052016001506556,8.349926362500002,2.312647026761441,0.9333333333333332,0.028867513459481256,8.174400791666667,2.3888608573024275
FD004,tcn,30.0,53.0,0.0,12.139825995253469,1.4503925408496277,9.535658877358491,1.8071197581850906,0.8867924528301887,0.037735849056603765,9.04732116981132,2.080242319799378
FD004,tcn,50.0,80.0,0.0,13.720765018552592,0.2112150251968082,10.213820264583333,1.087342176357845,0.7958333333333334,0.07107800878846657,8.9315394625,1.614551920601948
FD004,tcn,70.0,97.0,0.0,16.25808033101863,1.2265307399300098,12.110674974226804,0.8349013954852569,0.7628865979381443,0.057399632606495006,10.055736783505155,1.3367427164293448
