subset,split,model,job_name,seed,window_size,max_rul,hidden_size,num_layers,dropout,learning_rate,scheduler,loss,critical_threshold,critical_weight,over_weight,rmse,mae,nasa_s_score,critical_rmse_30,critical_rmse_50,overestimation_ratio,overestimation_magnitude,source_file,n_test_engines,nasa_per_engine,rmse_ref,mae_ref,nasa_per_engine_ref,critical_rmse_30_ref,critical_rmse_50_ref,overestimation_ratio_ref,overestimation_magnitude_ref,z_rmse,z_mae,z_nasa_per_engine,z_critical_rmse_30,z_critical_rmse_50,z_overestimation_ratio,z_overestimation_magnitude,sarbi_accuracy_log,sarbi_critical_log,sarbi_risk_log,sarbi_log,sarbi,job_label
FD003,test,gru_critical_mse,critical_w2_h64_l1_w30,43,30,130,64,1,0.2,0.001,none,critical_mse,50.0,2.0,2.0,13.85406219550019,9.880769424438476,404.4419959280264,4.176069590622457,4.943672967946764,0.54,6.652292127609253,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd003\seed_43\critical_w2_h64_l1_w30\metrics.csv,100.0,4.0444199592802645,13.339469135642856,9.663192110061646,3.24163879685338,4.960016073017393,5.145248880437985,0.53,5.626223993301392,0.037851244174503286,0.022266345877433702,0.22125913977507297,-0.17203846635886427,-0.039965170663506196,0.018692132977212055,0.16752295286661584,0.030058795025968494,-0.10600181851118523,0.15718334134849346,0.027080105954425573,1.027450104338255,Critical w2
FD003,test,gru_critical_mse,critical_w3_h64_l1_w30,43,30,130,64,1,0.2,0.001,none,critical_mse,50.0,3.0,2.0,12.52640746249823,9.310429854393004,259.93374052921126,3.7448859802819614,5.339903848426559,0.45,4.650117988586426,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd003\seed_43\critical_w3_h64_l1_w30\metrics.csv,100.0,2.5993374052921125,13.339469135642856,9.663192110061646,3.24163879685338,4.960016073017393,5.145248880437985,0.53,5.626223993301392,-0.06288823184846414,-0.03718877833226864,-0.2208224349207696,-0.2810178105407825,0.03713390551124572,-0.16362942344637227,-0.1905459300242167,-0.05003850509036639,-0.12194195251476839,-0.19895505582803205,-0.12364517114438894,0.8836933451576534,Critical w3
FD003,test,gru_safety_mse,safety_w1p5_h64_l1_w30,43,30,130,64,1,0.2,0.001,none,safety_mse,50.0,1.5,1.5,16.33312490984663,11.416861791610716,811.191758013254,3.687010536338646,6.904010106501034,0.52,5.469662160873413,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd003\seed_43\safety_w1p5_h64_l1_w30\metrics.csv,100.0,8.11191758013254,13.339469135642856,9.663192110061646,3.24163879685338,4.960016073017393,5.145248880437985,0.53,5.626223993301392,0.20246800395940712,0.1667673272988831,0.9172552829441948,-0.2965930042420914,0.2940286762131888,-0.019048194934410005,-0.028221670877181016,0.1846176656291451,-0.0012821640144513036,0.4468101750191997,0.21004855887796448,1.2337379674336122,Safety w1.5
FD003,test,gru_safety_mse,safety_w2_h64_l1_w30,43,30,130,64,1,0.2,0.001,none,safety_mse,50.0,2.0,2.0,15.46785491851703,11.047278366088868,466.3246488015973,3.961194835408336,5.735749182377724,0.5,4.925222301483155,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd003\seed_43\safety_w2_h64_l1_w30\metrics.csv,100.0,4.6632464880159725,13.339469135642856,9.663192110061646,3.24163879685338,4.960016073017393,5.145248880437985,0.53,5.626223993301392,0.14803674946470927,0.13386005608686632,0.3636328733010766,-0.22486327533901304,0.10864463402062915,-0.05826890801076834,-0.13306911224075763,0.1409484027757878,-0.05810932065919194,0.1339819315876568,0.07227367123475088,1.0749494865660902,Safety w2
FD003,test,gru_safety_mse,safety_w3_h64_l1_w30,43,30,130,64,1,0.2,0.001,none,safety_mse,50.0,3.0,3.0,15.091227495958112,10.920850791931151,398.3492583850073,4.493701214531798,4.753910276145711,0.39,3.818110284805298,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd003\seed_43\safety_w3_h64_l1_w30\metrics.csv,100.0,3.983492583850073,13.339469135642856,9.663192110061646,3.24163879685338,4.960016073017393,5.145248880437985,0.53,5.626223993301392,0.12338636969032447,0.12234983880364914,0.2060799646343014,-0.09873229510341558,-0.0791062459422814,-0.30673026674516524,-0.38768291276671163,0.1228681042469868,-0.08891927052284848,-0.07056331256081852,-0.012204826278893403,0.9878693505349739,Safety w3
FD003,test,gru_asymmetric_mse,asymmetric_w2_h64_l1_w30,44,30,130,64,1,0.2,0.001,none,asymmetric_mse,50.0,2.0,2.0,12.734465088650603,9.778226337432862,235.2822568780808,3.875463287447592,4.5843105635591455,0.5,4.850334854125976,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd003\seed_44\asymmetric_w2_h64_l1_w30\metrics.csv,100.0,2.352822568780808,13.339469135642856,9.663192110061646,3.24163879685338,4.960016073017393,5.145248880437985,0.53,5.626223993301392,-0.04641514046040633,0.011834071692527393,-0.32046330279217505,-0.24674376749305668,-0.11543401477017974,-0.05826890801076834,-0.14839077854607408,-0.01729053438393947,-0.18108889113161822,-0.21189657303529813,-0.1367586661836186,0.8721806874292454,Asymmetric w2
FD003,test,gru_asymmetric_mse,asymmetric_w3_h64_l1_w30,44,30,130,64,1,0.2,0.001,none,asymmetric_mse,50.0,2.0,3.0,12.950053452900494,9.782889490127564,232.7940823859638,4.214499297582709,4.37748512584107,0.42,3.668427019119264,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd003\seed_44\asymmetric_w3_h64_l1_w30\metrics.csv,100.0,2.327940823859638,13.339469135642856,9.663192110061646,3.24163879685338,4.960016073017393,5.145248880437985,0.53,5.626223993301392,-0.029627328989931128,0.012310849482063147,-0.33109489306482026,-0.16287818743505078,-0.1615993540389681,-0.23262229477459356,-0.42767555808915036,-0.00865823975393399,-0.16223877073700943,-0.33062190974834615,-0.16717297341309653,0.8460532539605867,Asymmetric w3
FD003,test,gru,baseline_lr1e-3_h64_l1_w30,44,30,130,64,1,0.2,0.001,none,mse,50.0,2.0,2.0,13.097077982972412,9.502579822540284,324.16387968533803,4.960016073017393,5.145248880437985,0.53,5.626223993301392,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd003\seed_44\baseline_lr1e-3_h64_l1_w30\metrics.csv,100.0,3.24163879685338,13.339469135642856,9.663192110061646,3.24163879685338,4.960016073017393,5.145248880437985,0.53,5.626223993301392,-0.01833809417316178,-0.01676071780544022,0.0,0.0,0.0,0.0,0.0,-0.017549405989301,0.0,0.0,-0.0058498019964336664,0.9941672747804511,Baseline GRU
FD003,test,gru_critical_mse,critical_w2_h64_l1_w30,44,30,130,64,1,0.2,0.001,none,critical_mse,50.0,2.0,2.0,13.224772878449697,9.86611704826355,304.7875677676398,4.534216306167566,4.465498376728207,0.55,6.064220275878906,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd003\seed_44\critical_w2_h64_l1_w30\metrics.csv,100.0,3.047875677676398,13.339469135642856,9.663192110061646,3.24163879685338,4.960016073017393,5.145248880437985,0.53,5.626223993301392,-0.008635440820969823,0.02078232672506863,-0.06163415457949472,-0.08975672271301992,-0.1416929147217183,0.037041271611738445,0.07496744961697652,0.006073442952049404,-0.11572481871736912,-0.002814896982568621,-0.03748875758262944,0.963205246415345,Critical w2
FD003,test,gru_critical_mse,critical_w3_h64_l1_w30,44,30,130,64,1,0.2,0.001,none,critical_mse,50.0,3.0,2.0,13.48853912852023,10.016896166801452,288.2541330504871,3.787783444916189,5.098051806268268,0.41,5.202503137588501,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd003\seed_44\critical_w3_h64_l1_w30\metrics.csv,100.0,2.882541330504871,13.339469135642856,9.663192110061646,3.24163879685338,4.960016073017393,5.145248880437985,0.53,5.626223993301392,0.011113126669234887,0.03594924405881341,-0.11740669190782285,-0.26962797621998,-0.009215273398000294,-0.25671984629558203,-0.07829864083603075,0.023531185364024147,-0.13942162480899015,-0.14245796773681463,-0.0861161357272602,0.9174876719345683,Critical w3
FD003,test,gru_safety_mse,safety_w1p5_h64_l1_w30,44,30,130,64,1,0.2,0.001,none,safety_mse,50.0,1.5,1.5,15.987795379714044,11.863250288963318,835.656502622491,5.462718500534685,7.101659845643384,0.55,7.45795184135437,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd003\seed_44\safety_w1p5_h64_l1_w30\metrics.csv,100.0,8.35656502622491,13.339469135642856,9.663192110061646,3.24163879685338,4.960016073017393,5.145248880437985,0.53,5.626223993301392,0.18109839762179486,0.2051213709076466,0.9469684570143919,0.09653757844176988,0.32225479636868787,0.037041271611738445,0.28184230114998593,0.19310988426472073,0.20939618740522886,0.553205121697627,0.3185703977891922,1.3751604260301578,Safety w1.5
FD003,test,gru_safety_mse,safety_w2_h64_l1_w30,44,30,130,64,1,0.2,0.001,none,safety_mse,50.0,2.0,2.0,16.530259381037034,11.99167971611023,954.5904744472244,6.623676916839835,7.715334435435738,0.46,5.673108768463135,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd003\seed_44\safety_w2_h64_l1_w30\metrics.csv,100.0,9.545904744472244,13.339469135642856,9.663192110061646,3.24163879685338,4.960016073017393,5.145248880437985,0.53,5.626223993301392,0.21446535846182518,0.21588901247869924,1.0800332363221326,0.2892416599518456,0.4051360921597164,-0.1416505167759061,0.008298727936745553,0.2151771854702622,0.34718887605578097,0.5066786709512762,0.35634824415910643,1.4281047908299085,Safety w2
FD003,test,gru_safety_mse,safety_w3_h64_l1_w30,44,30,130,64,1,0.2,0.001,none,safety_mse,50.0,3.0,3.0,14.525837439231651,10.863006558418274,275.4730299167763,4.778460815593848,5.420665318154431,0.41,3.353410587310791,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd003\seed_44\safety_w3_h64_l1_w30\metrics.csv,100.0,2.754730299167763,13.339469135642856,9.663192110061646,3.24163879685338,4.960016073017393,5.145248880437985,0.53,5.626223993301392,0.08520171132810223,0.11703908336387388,-0.16275946059928761,-0.037290491708926496,0.05214481895619884,-0.25671984629558203,-0.5174606094044102,0.10112039734598804,0.007427163623636171,-0.27492484422464186,-0.05545909441833921,0.946050721633997,Safety w3
FD004,test,gru_asymmetric_mse,asymmetric_w2_h64_l1_w30,42,30,130,64,1,0.2,0.001,none,asymmetric_mse,50.0,2.0,2.0,21.23440095877602,15.939182971754382,3533.020283075656,13.276124720602777,15.720805372125923,0.4112903225806452,5.565783581426067,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd004\seed_42\asymmetric_w2_h64_l1_w30\metrics.csv,248.0,14.246049528530872,21.12196155225765,15.60378393050163,15.126486438547264,14.424871992191836,17.439241413394452,0.5362903225806451,8.295356146750912,0.00530922222616839,0.02126697107972531,-0.059967633800302525,-0.08298665006905438,-0.10373790257789296,-0.26537631437077164,-0.3990580776701482,0.013288096652946849,-0.09336227632347367,-0.19609241491038124,-0.09205553152696935,0.9120545003597059,Asymmetric w2
FD004,test,gru_asymmetric_mse,asymmetric_w3_h64_l1_w30,42,30,130,64,1,0.2,0.001,none,asymmetric_mse,50.0,2.0,3.0,22.257151905071648,16.93285578969986,2477.730456813496,10.210443068477987,13.952702226122618,0.3387096774193548,5.097028936109235,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd004\seed_42\asymmetric_w3_h64_l1_w30\metrics.csv,248.0,9.99084861618345,21.12196155225765,15.60378393050163,15.126486438547264,14.424871992191836,17.439241413394452,0.5362903225806451,8.295356146750912,0.05235005984416501,0.08174241962775543,-0.41477774036518955,-0.3455429115249016,-0.2230497231079059,-0.45953232829072077,-0.4870380493285404,0.06704623973596022,-0.28429631731640376,-0.44403146458741005,-0.22042718072261785,0.8021760506151924,Asymmetric w3
FD004,test,gru,baseline_lr1e-3_h64_l1_w30,42,30,130,64,1,0.2,0.001,none,mse,50.0,2.0,2.0,20.269352486364205,15.063529548145109,3580.69385153201,12.71251070965226,17.439241413394452,0.4959677419354839,7.380919502627465,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd004\seed_42\baseline_lr1e-3_h64_l1_w30\metrics.csv,248.0,14.438281659403266,21.12196155225765,15.60378393050163,15.126486438547264,14.424871992191836,17.439241413394452,0.5362903225806451,8.295356146750912,-0.04120331552894628,-0.03523688382882476,-0.04656414828614301,-0.12636733449577608,0.0,-0.07816477269773757,-0.11679763311423813,-0.038220099678885525,-0.06318366724788804,-0.07202267559606543,-0.05780881417427966,0.9438303771784452,Baseline GRU
FD004,test,gru_critical_mse,critical_w2_h64_l1_w30,42,30,130,64,1,0.2,0.001,none,critical_mse,50.0,2.0,2.0,21.36131456978632,15.771101372857247,3218.2687363657305,9.64016720108566,14.940326410953272,0.4959677419354839,7.200292664189493,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd004\seed_42\critical_w2_h64_l1_w30\metrics.csv,248.0,12.97689006599085,21.12196155225765,15.60378393050163,15.126486438547264,14.424871992191836,17.439241413394452,0.5362903225806451,8.295356146750912,0.01126822467440659,0.010665793795372773,-0.15327718773682025,-0.403015485312551,-0.15465889299811836,-0.07816477269773757,-0.1415741848140051,0.01096700923488968,-0.2788371891553347,-0.1315733332463458,-0.13314783772226357,0.8753356749102401,Critical w2
FD004,test,gru_critical_mse,critical_w3_h64_l1_w30,42,30,130,64,1,0.2,0.001,none,critical_mse,50.0,3.0,2.0,21.501039175203363,15.46584268443046,3921.179350949863,9.16709458360242,14.971126410059773,0.4475806451612903,6.213020995739968,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd004\seed_42\critical_w3_h64_l1_w30\metrics.csv,248.0,15.811207060281706,21.12196155225765,15.60378393050163,15.126486438547264,14.424871992191836,17.439241413394452,0.5362903225806451,8.295356146750912,0.017787936642480528,-0.008879550058220885,0.04427172018628246,-0.45333354152780914,-0.15259948049318653,-0.1808189265398469,-0.2890486073921024,0.004454193292129822,-0.3029665110104978,-0.0953310233898461,-0.13128111370273804,0.8769712111121587,Critical w3
FD004,test,gru_safety_mse,safety_w1p5_h64_l1_w30,42,30,130,64,1,0.2,0.001,none,safety_mse,50.0,1.5,1.5,21.165810339979394,15.52971241743334,3504.089538605493,11.984418219814982,15.55518285766628,0.4637096774193548,6.298113011544751,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd004\seed_42\safety_w1p5_h64_l1_w30\metrics.csv,248.0,14.129393300828601,21.12196155225765,15.60378393050163,15.126486438547264,14.424871992191836,17.439241413394452,0.5362903225806451,8.295356146750912,0.0020738289804766268,-0.004758325373686768,-0.06819001719231033,-0.1853466139677482,-0.11432903475344247,-0.14541699956664345,-0.2754457912393199,-0.0013422481966050706,-0.14983782436059534,-0.139310706297646,-0.09683025961828212,0.9077100681110837,Safety w1.5
FD004,test,gru_safety_mse,safety_w2_h64_l1_w30,42,30,130,64,1,0.2,0.001,none,safety_mse,50.0,2.0,2.0,21.8351153715896,16.19368771920281,2819.2971955522808,8.961808309681855,15.151331750583184,0.4112903225806452,5.801811322089164,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd004\seed_42\safety_w2_h64_l1_w30\metrics.csv,248.0,11.36813385303339,21.12196155225765,15.60378393050163,15.126486438547264,14.424871992191836,17.439241413394452,0.5362903225806451,8.295356146750912,0.03320613966096544,0.03710807485091492,-0.28563311072394004,-0.47598191138684015,-0.14063448816682184,-0.26537631437077164,-0.35752569207076634,0.03515710725594018,-0.308308199776831,-0.29854205697235453,-0.1905643831644151,0.8264925438106984,Safety w2
FD004,test,gru_safety_mse,safety_w3_h64_l1_w30,42,30,130,64,1,0.2,0.001,none,safety_mse,50.0,3.0,3.0,24.642216686331327,17.71607340728083,4747.207649224257,10.679589826397793,12.90084647334996,0.3588709677419355,4.055547375832835,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd004\seed_42\safety_w3_h64_l1_w30\metrics.csv,248.0,19.141966327517164,21.12196155225765,15.60378393050163,15.126486438547264,14.424871992191836,17.439241413394452,0.5362903225806451,8.295356146750912,0.15414776647877196,0.1269588851129419,0.235435838652448,-0.3006195112791162,-0.3014299932722524,-0.40171275756775854,-0.7156101913740575,0.14055332579585694,-0.30102475227568426,-0.16161281790923,-0.10736141479635244,0.8982009911931212,Safety w3
FD004,test,gru_asymmetric_mse,asymmetric_w2_h64_l1_w30,43,30,130,64,1,0.2,0.001,none,asymmetric_mse,50.0,2.0,2.0,21.071146098725983,15.41971135235602,2985.903627197767,11.785976886760606,13.27595119169992,0.4516129032258064,5.318229875256939,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd004\seed_43\asymmetric_w2_h64_l1_w30\metrics.csv,248.0,12.039933980636157,21.12196155225765,15.60378393050163,15.126486438547264,14.424871992191836,17.439241413394452,0.5362903225806451,8.295356146750912,-0.0024087099020234258,-0.01186679557251124,-0.22821831947006715,-0.20204351297644021,-0.27276870315863044,-0.1718502565770351,-0.44455533999315,-0.007137752737267333,-0.23740610806753532,-0.26821055887757983,-0.17091813989412746,0.8428905697588391,Asymmetric w2
FD004,test,gru_asymmetric_mse,asymmetric_w3_h64_l1_w30,43,30,130,64,1,0.2,0.001,none,asymmetric_mse,50.0,2.0,3.0,22.633179661845865,16.802946144534694,4721.289016999312,11.023773069063791,12.909895523043447,0.3467741935483871,3.7752098171941695,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd004\seed_43\asymmetric_w3_h64_l1_w30\metrics.csv,248.0,19.0374557137069,21.12196155225765,15.60378393050163,15.126486438547264,14.424871992191836,17.439241413394452,0.5362903225806451,8.295356146750912,0.06910362520850973,0.07404079228578081,0.22996111592198767,-0.2688998094211532,-0.3007288084659571,-0.4360018309491865,-0.787239895817884,0.07157220874714526,-0.2848143089435552,-0.19082987373077379,-0.13469065797572788,0.8739862305451304,Asymmetric w3
FD004,test,gru,baseline_lr1e-3_h64_l1_w30,43,30,130,64,1,0.2,0.001,none,mse,50.0,2.0,2.0,21.12196155225765,15.60378393050163,11700.078028079595,17.239255120312812,20.185205551157395,0.5564516129032258,9.016445067621046,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd004\seed_43\baseline_lr1e-3_h64_l1_w30\metrics.csv,248.0,47.17773398419192,21.12196155225765,15.60378393050163,15.126486438547264,14.424871992191836,17.439241413394452,0.5362903225806451,8.295356146750912,0.0,0.0,1.1374747676035575,0.17823511948246806,0.14622701701060392,0.03690455686789069,0.08335428187643457,0.0,0.162231068246536,0.5988020934878601,0.25367772057813204,1.2887563976661316,Baseline GRU
FD004,test,gru_critical_mse,critical_w2_h64_l1_w30,43,30,130,64,1,0.2,0.001,none,critical_mse,50.0,2.0,2.0,20.54727090537265,15.238810127781283,5550.406397813682,15.362987682857783,18.577579655055,0.5685483870967742,9.043304074195124,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd004\seed_43\critical_w2_h64_l1_w30\metrics.csv,248.0,22.380670958926135,21.12196155225765,15.60378393050163,15.126486438547264,14.424871992191836,17.439241413394452,0.5362903225806451,8.295356146750912,-0.027585201586405133,-0.023667972883122834,0.39175040668776817,0.06300728107331907,0.06323253815695122,0.058410762050618355,0.0863287447178562,-0.025626587234763985,0.06311990961513514,0.23206008003600273,0.0898511341387913,1.094011410631575,Critical w2
