subset,model,lead_time,policy,maintenance_rate_mean,maintenance_rate_std,early_maintenance_rate_mean,early_maintenance_rate_std,late_maintenance_rate_mean,late_maintenance_rate_std,missed_critical_rate_mean,missed_critical_rate_std,expected_cost_mean,expected_cost_std,oracle_expected_cost_mean,oracle_expected_cost_std,decision_regret_mean,decision_regret_std
FD001,gru,30.0,mean,0.22,0.01732050807568877,0.016666666666666666,0.005773502691896258,0.04666666666666667,0.011547005383792512,0.04666666666666667,0.011547005383792512,1.6221333333333334,0.3286277732227348,0.25,0.0,1.3721333333333332,0.3286277732227351
FD001,gru,50.0,mean,0.31666666666666665,0.0057735026918962675,0.02,0.0,0.03333333333333333,0.005773502691896258,0.0,0.0,0.6578,0.05196152422706629,0.33,0.0,0.32780000000000004,0.05196152422706634
FD001,gru_safety_mse,10.0,mean,0.05333333333333334,0.025166114784235832,0.0033333333333333335,0.005773502691896258,0.02,0.02,0.19666666666666668,0.025166114784235832,4.186733333333334,0.6771203831914482,0.07,0.0,4.116733333333333,0.6771203831914482
FD001,gru_safety_mse,20.0,mean,0.13333333333333333,0.011547005383792528,0.013333333333333334,0.005773502691896258,0.04,0.010000000000000002,0.11666666666666665,0.01154700538379252,2.8669333333333333,0.3100129244617607,0.16,0.0,2.706933333333333,0.3100129244617608
FD001,gru_safety_mse,30.0,mean,0.24333333333333332,0.005773502691896261,0.02,0.0,0.02666666666666667,0.005773502691896255,0.02666666666666667,0.005773502691896255,1.0457333333333332,0.16743157806499148,0.25,0.0,0.7957333333333333,0.16743157806499148
FD001,gru_safety_mse,50.0,mean,0.34,0.017320508075688777,0.023333333333333334,0.011547005383792516,0.013333333333333334,0.005773502691896257,0.0,0.0,0.48133333333333334,0.034179135936025846,0.33,0.0,0.15133333333333332,0.03417913593602583
FD001,lstm,10.0,mean,0.02666666666666667,0.015275252316519466,0.006666666666666667,0.005773502691896258,0.049999999999999996,0.009999999999999997,0.2233333333333333,0.015275252316519472,4.9934666666666665,0.38878016067352683,0.07,0.0,4.923466666666666,0.38878016067352683
FD001,lstm,20.0,mean,0.14333333333333334,0.02516611478423584,0.006666666666666667,0.011547005383792516,0.023333333333333334,0.015275252316519466,0.10999999999999999,0.020000000000000004,2.5779333333333336,0.5241305308158775,0.16,0.0,2.4179333333333335,0.5241305308158772
FD001,lstm,30.0,mean,0.21666666666666667,0.02081665999466132,0.013333333333333334,0.005773502691896257,0.04666666666666667,0.015275252316519466,0.04666666666666667,0.015275252316519466,1.6185333333333334,0.43709519939406033,0.25,0.0,1.3685333333333334,0.4370951993940603
FD001,lstm,50.0,mean,0.32,0.010000000000000009,0.023333333333333334,0.005773502691896256,0.03333333333333333,0.005773502691896261,0.0,0.0,0.6613333333333333,0.04664347042548753,0.33,0.0,0.3313333333333333,0.04664347042548756
