subset,model,seed,window_size,max_rul,critical_threshold_checked,critical_count,critical_rmse,critical_mae,critical_overestimation_ratio,critical_overestimation_magnitude
FD003,cnn,44,30,130,30.0,20,21.03703124278131,13.56356855,0.65,12.271929675
FD003,cnn,44,30,130,50.0,29,24.254522556520563,15.89596324137931,0.6206896551724138,13.840368568965516
FD003,cnn,44,30,130,70.0,47,27.12125356918325,18.93051231914894,0.6595744680851063,16.844529393617023
FD003,gradient_boosting,42,30,130,20.0,14,3.366760268563654,2.756363998871555,0.6428571428571429,1.970475759692878
FD003,gradient_boosting,42,30,130,30.0,20,4.195119380314619,3.508479389593856,0.6,2.4395385848517472
FD003,gradient_boosting,42,30,130,50.0,29,4.907956232026468,4.24378937028958,0.5862068965517241,2.56458434915898
FD003,gradient_boosting,42,30,130,70.0,47,10.376624190866817,7.239316753423997,0.6382978723404256,5.891776046806657
FD003,gradient_boosting,43,30,130,20.0,14,4.054019729695809,3.0206590520034147,0.6428571428571429,2.466397433359543
FD003,gradient_boosting,43,30,130,30.0,20,3.8954513552428893,3.046255199658426,0.6,2.2363232984166332
FD003,gradient_boosting,43,30,130,50.0,29,5.556365082739382,4.193415640844654,0.5862068965517241,2.3931211558548333
FD003,gradient_boosting,43,30,130,70.0,47,9.398762355618599,6.196638626966953,0.6170212765957447,4.439881623076404
FD003,gradient_boosting,44,30,130,20.0,14,2.7783797445869043,2.4309187603716995,0.5714285714285714,1.419967259201091
FD003,gradient_boosting,44,30,130,30.0,20,4.191067354968259,3.2743150440865834,0.55,2.3030939486087054
FD003,gradient_boosting,44,30,130,50.0,29,6.134906743883286,4.6084714283933526,0.5862068965517241,2.673439934756927
FD003,gradient_boosting,44,30,130,70.0,47,9.58114863207907,7.028222138135727,0.6382978723404256,5.27082081023861
FD003,gru,42,30,130,20.0,14,4.711358024130026,3.2804687642857138,0.7857142857142857,2.9405902857142854
FD003,gru,42,30,130,30.0,20,4.674220634103665,3.184421135,0.7,2.60139675
FD003,gru,42,30,130,50.0,29,5.13160083053209,3.6322329206896553,0.6206896551724138,2.4133004137931033
FD003,gru,42,30,130,70.0,47,12.781787962320172,7.434661929787235,0.6382978723404256,6.062024319148938
FD003,gru,43,30,130,20.0,14,5.287553660265233,4.328461585714285,0.6428571428571429,3.068495678571428
FD003,gru,43,30,130,30.0,20,6.704083984422412,5.212831410000001,0.65,3.872679125
FD003,gru,43,30,130,50.0,29,8.546113380412686,6.602725317241379,0.5517241379310345,4.3305367068965515
FD003,gru,43,30,130,70.0,47,15.81096050086261,10.286086919148937,0.6382978723404256,8.327943478723405
FD003,gru,44,30,130,20.0,14,4.5688867496371515,3.415846214285714,0.7857142857142857,3.204686642857143
FD003,gru,44,30,130,30.0,20,4.492252698322447,3.3411503000000002,0.7,2.7823397500000007
FD003,gru,44,30,130,50.0,29,4.90480463937559,3.706816241379311,0.6206896551724138,2.6671507241379313
FD003,gru,44,30,130,70.0,47,10.738547029366194,6.837085340425533,0.7021276595744681,5.887597574468088
FD003,gru_safety_mse,42,30,130,20.0,14,3.21548075241061,2.553189757142857,0.42857142857142855,1.4121839499999997
FD003,gru_safety_mse,42,30,130,30.0,20,3.315129539149364,2.6436442299999996,0.45,1.355307115
FD003,gru_safety_mse,42,30,130,50.0,29,4.565933698242429,3.593208158620689,0.41379310344827586,1.682558251724138
FD003,gru_safety_mse,42,30,130,70.0,47,9.903505738875033,6.489469055319149,0.44680851063829785,4.12111534680851
FD003,gru_safety_mse,43,30,130,20.0,14,5.340694044606476,4.050668907142856,0.7142857142857143,3.3317193571428567
FD003,gru_safety_mse,43,30,130,30.0,20,10.243329786058851,7.1926423349999995,0.65,4.3543090499999995
