subset,contrast_id,contrast_label,baseline_job,candidate_job,metric,candidate_minus_baseline,ci95_low,ci95_high,n_paired_seed_engine,ci_excludes_zero,direction,interpretation
FD003,cycle_vs_lstm,Cycle minus LSTM baseline,lstm_baseline_h64_l1_w30,dual_cycle_h64_l1_w30,critical_rmse_50,-0.5209992628357458,-2.190706257203964,0.8854626135150888,300,False,uncertain,uncertain
FD003,cycle_vs_lstm,Cycle minus LSTM baseline,lstm_baseline_h64_l1_w30,dual_cycle_h64_l1_w30,overestimation_ratio,-0.010000000000000009,-0.053333333333333344,0.033333333333333326,300,False,uncertain,uncertain
FD003,cycle_vs_lstm,Cycle minus LSTM baseline,lstm_baseline_h64_l1_w30,dual_cycle_h64_l1_w30,overestimation_magnitude,-0.19666367833333265,-0.8589447435416678,0.4474041697916657,300,False,uncertain,uncertain
FD003,cycle_vs_no_cycle,Cycle minus no-cycle,dual_no_cycle_h64_l1_w30,dual_cycle_h64_l1_w30,rmse,-0.5318683667454209,-1.6640268007968382,0.6410425958650121,300,False,uncertain,uncertain
FD003,cycle_vs_no_cycle,Cycle minus no-cycle,dual_no_cycle_h64_l1_w30,dual_cycle_h64_l1_w30,mae,-0.5319165510000001,-1.3116158444916661,0.2808022766083298,300,False,uncertain,uncertain
FD003,cycle_vs_no_cycle,Cycle minus no-cycle,dual_no_cycle_h64_l1_w30,dual_cycle_h64_l1_w30,critical_rmse_50,-0.5624525834452712,-1.7768899361497716,0.49240148439285353,300,False,uncertain,uncertain
FD003,cycle_vs_no_cycle,Cycle minus no-cycle,dual_no_cycle_h64_l1_w30,dual_cycle_h64_l1_w30,overestimation_ratio,-0.050000000000000044,-0.09666666666666668,-0.0033333333333332993,300,True,candidate_lower,improvement
FD003,cycle_vs_no_cycle,Cycle minus no-cycle,dual_no_cycle_h64_l1_w30,dual_cycle_h64_l1_w30,overestimation_magnitude,-0.9946489850000004,-1.6567059534999988,-0.3743529689999994,300,True,candidate_lower,improvement
FD003,safety_vs_cycle,Cycle+safety minus cycle,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,rmse,-0.41197973659411957,-1.6474415837766445,0.7499430034858069,300,False,uncertain,uncertain
FD003,safety_vs_cycle,Cycle+safety minus cycle,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,mae,-0.5020270446666668,-1.3439101204249997,0.4158492872249995,300,False,uncertain,uncertain
FD003,safety_vs_cycle,Cycle+safety minus cycle,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,critical_rmse_50,-1.204638291621916,-2.173263635484331,-0.29797625124192395,300,True,candidate_lower,improvement
FD003,safety_vs_cycle,Cycle+safety minus cycle,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,overestimation_ratio,-0.12999999999999995,-0.1833333333333333,-0.07666666666666672,300,True,candidate_lower,improvement
FD003,safety_vs_cycle,Cycle+safety minus cycle,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,overestimation_magnitude,-1.9079511496666672,-2.5654333474583346,-1.2780665395583344,300,True,candidate_lower,improvement
FD003,safety_vs_rmse_best,Cycle+safety minus Paper2 RMSE-best,dual_cycle_safety_w2_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,rmse,0.0,0.0,0.0,0,True,same_job,same_job
FD003,safety_vs_rmse_best,Cycle+safety minus Paper2 RMSE-best,dual_cycle_safety_w2_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,mae,0.0,0.0,0.0,0,True,same_job,same_job
FD003,safety_vs_rmse_best,Cycle+safety minus Paper2 RMSE-best,dual_cycle_safety_w2_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,critical_rmse_50,0.0,0.0,0.0,0,True,same_job,same_job
FD003,safety_vs_rmse_best,Cycle+safety minus Paper2 RMSE-best,dual_cycle_safety_w2_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,overestimation_ratio,0.0,0.0,0.0,0,True,same_job,same_job
FD003,safety_vs_rmse_best,Cycle+safety minus Paper2 RMSE-best,dual_cycle_safety_w2_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,overestimation_magnitude,0.0,0.0,0.0,0,True,same_job,same_job
FD004,cycle_vs_lstm,Cycle minus LSTM baseline,lstm_baseline_h64_l1_w30,dual_cycle_h64_l1_w30,rmse,-1.0821196816256062,-1.972877636962667,-0.3085073087905447,744,True,candidate_lower,improvement
FD004,cycle_vs_lstm,Cycle minus LSTM baseline,lstm_baseline_h64_l1_w30,dual_cycle_h64_l1_w30,mae,-0.9588397381720419,-1.5566290514247294,-0.3507785372043026,744,True,candidate_lower,improvement
FD004,cycle_vs_lstm,Cycle minus LSTM baseline,lstm_baseline_h64_l1_w30,dual_cycle_h64_l1_w30,critical_rmse_50,-2.842827126676813,-4.275268906655557,-1.4781547677633482,744,True,candidate_lower,improvement
FD004,cycle_vs_lstm,Cycle minus LSTM baseline,lstm_baseline_h64_l1_w30,dual_cycle_h64_l1_w30,overestimation_ratio,0.03629032258064513,0.013440860215053752,0.06182795698924737,744,True,candidate_higher,cost_or_worse
FD004,cycle_vs_lstm,Cycle minus LSTM baseline,lstm_baseline_h64_l1_w30,dual_cycle_h64_l1_w30,overestimation_magnitude,-0.2032700416666664,-0.669961811088708,0.210967444724462,744,False,uncertain,uncertain
FD004,cycle_vs_no_cycle,Cycle minus no-cycle,dual_no_cycle_h64_l1_w30,dual_cycle_h64_l1_w30,rmse,-0.1055240300348963,-1.0194848240540257,0.7941198196113628,744,False,uncertain,uncertain
FD004,cycle_vs_no_cycle,Cycle minus no-cycle,dual_no_cycle_h64_l1_w30,dual_cycle_h64_l1_w30,mae,-0.2560755627688174,-0.9868761339986493,0.4245035997143814,744,False,uncertain,uncertain
FD004,cycle_vs_no_cycle,Cycle minus no-cycle,dual_no_cycle_h64_l1_w30,dual_cycle_h64_l1_w30,critical_rmse_50,-0.4777211181825223,-2.284330256154807,1.4083155425324334,744,False,uncertain,uncertain
FD004,cycle_vs_no_cycle,Cycle minus no-cycle,dual_no_cycle_h64_l1_w30,dual_cycle_h64_l1_w30,overestimation_ratio,0.010752688172043001,-0.014784946236559127,0.03897849462365588,744,False,uncertain,uncertain
FD004,cycle_vs_no_cycle,Cycle minus no-cycle,dual_no_cycle_h64_l1_w30,dual_cycle_h64_l1_w30,overestimation_magnitude,-0.11204847580645172,-0.6465809548723107,0.4369696763776889,744,False,uncertain,uncertain
FD004,safety_vs_cycle,Cycle+safety minus cycle,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,rmse,0.07029112871008181,-1.0167878475172158,1.1542971601254393,744,False,uncertain,uncertain
FD004,safety_vs_cycle,Cycle+safety minus cycle,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,mae,0.025624671236560204,-0.7501270196942176,0.8194350811122322,744,False,uncertain,uncertain
FD004,safety_vs_cycle,Cycle+safety minus cycle,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,critical_rmse_50,-4.458799616886891,-6.293731305249839,-2.5012739990774246,744,True,candidate_lower,improvement
FD004,safety_vs_cycle,Cycle+safety minus cycle,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,overestimation_ratio,-0.10349462365591394,-0.13037634408602156,-0.07657930107526893,744,True,candidate_lower,improvement
FD004,safety_vs_cycle,Cycle+safety minus cycle,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,overestimation_magnitude,-3.0366782638440863,-3.629376289805108,-2.4850557716633066,744,True,candidate_lower,improvement
FD004,safety_vs_rmse_best,Cycle+safety minus Paper2 RMSE-best,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,rmse,0.07029112871008181,-1.009463756827319,1.1447443722907218,744,False,uncertain,uncertain
FD004,safety_vs_rmse_best,Cycle+safety minus Paper2 RMSE-best,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,mae,0.025624671236560204,-0.8134580602553765,0.8036876442137111,744,False,uncertain,uncertain
FD004,safety_vs_rmse_best,Cycle+safety minus Paper2 RMSE-best,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,critical_rmse_50,-4.458799616886891,-6.356164802125272,-2.545675585627291,744,True,candidate_lower,improvement
FD004,safety_vs_rmse_best,Cycle+safety minus Paper2 RMSE-best,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,overestimation_ratio,-0.10349462365591394,-0.13037634408602156,-0.07661290322580644,744,True,candidate_lower,improvement
FD004,safety_vs_rmse_best,Cycle+safety minus Paper2 RMSE-best,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,overestimation_magnitude,-3.0366782638440863,-3.6330784133333336,-2.4830733750235225,744,True,candidate_lower,improvement
